index,Przeciwnik,Gole strzelone,Gole stracone,Miejsce,Dzień_tygodnia,Godzina,Waznosc
41,Górnik Zabrze,0,0,Na wyjeździe,Sobota,19:00,0.6
42,Warta Poznań,2,0,U siebie,Piątek,19:30,0.9
43,Stal Mielec,0,0,Na wyjeździe,Poniedziałek,14:00,0.6
44,Pogoń Szczecin,1,0,U siebie,Niedziela,14:00,0.9
45,Puszcza Niepołomice,1,2,Na wyjeździe,Sobota,16:30,0.6
46,ŁKS Łódź,3,2,Na wyjeździe,Niedziela,14:00,0.6
47,Cracovia Kraków,0,0,U siebie,Niedziela,16:30,0.9
48,Ruch Chorzów,1,2,Na wyjeździe,Piątek,19:30,0.6
49,Legia Warszawa,1,2,U siebie,Niedziela,16:30,0.9
50,Widzew Łódź,1,1,Na wyjeździe,Niedziela,16:30,0.6
51,Korona Kielce,1,2,U siebie,Sobota,16:30,0.9
52,Stal Mielec,0,2,U siebie,Sobota,15:00,0.9
53,Wisła Płock,1,3,U siebie,Niedziela,17:30,0.9
54,Zagłębie Lubin,1,1,Na wyjeździe,Niedziela,17:30,0.6
55,Śląsk Wrocław,0,1,U siebie,Sobota,19:00,0.9
56,Piast Gliwice,1,0,U siebie,Niedziela,16:30,0.9
57,Lechia Gdańsk,3,0,Na wyjeździe,Środa,19:30,0.6
58,Widzew Łódź,2,0,U siebie,Niedziela,16:30,0.9
59,Pogoń Szczecin,2,2,Na wyjeździe,Niedziela,14:00,0.6
60,Warta Poznań,1,0,Na wyjeździe,Niedziela,16:30,0.6
61,Legia Warszawa,0,0,U siebie,Sobota,16:30,0.9
62,Radomiak Radom,1,0,U siebie,Niedziela,16:30,0.9
63,Górnik Zabrze,2,1,Na wyjeździe,Niedziela,17:30,0.6
64,Cracovia Kraków,0,0,Na wyjeździe,Niedziela,16:30,0.6
65,Raków Częstochowa,1,2,U siebie,Niedziela,16:30,0.9
66,Korona Kielce,3,2,U siebie,Niedziela,16:30,0.9
67,Jagiellonia Białystok,2,1,Na wyjeździe,Niedziela,16:30,0.6
68,Stal Mielec,0,0,Na wyjeździe,Piątek,19:30,0.6
69,Miedź Legnica,2,2,Na wyjeździe,Środa,18:00,0.6
70,Miedź Legnica,1,0,U siebie,Niedziela,14:00,0.9
71,Wisła Płock,1,0,Na wyjeździe,Sobota,16:30,0.6
72,Zagłębie Lubin,1,2,U siebie,Niedziela,14:00,0.9
73,Śląsk Wrocław,1,2,Na wyjeździe,Niedziela,16:30,0.6
74,Lechia Gdańsk,5,0,U siebie,Piątek,19:30,0.9
